player_name,team,season,age,games_played,games_started,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_pct,three_pt_pct,ft_pct,usage_rate,per,true_shooting_pct,bpm,vorp
Jayson Parker,BOS,2000-01,24,58,39,23.6,8.2,2.7,1.6,0.6,0.9,1.5,0.549,0.32,0.711,33.7,,,,
Kevin Reed,MIL,2000-01,20,64,62,20.5,21.6,6.2,1.8,1.7,0,3.8,0.512,0.328,0.871,30.5,,,,
Jayson Parker,OKC,2000-01,19,66,31,32.1,4.1,4.4,0.5,0.5,0.3,0.8,0.496,0.305,0.829,19.5,,,,
CJ Mitchell,CHI,2000-01,21,72,60,22.1,14.0,2.9,1.3,1.6,1.3,3.5,0.51,0.366,0.884,23.7,,,,
Khris Williams,WAS,2000-01,23,76,68,29.3,9.5,6.1,3.1,1.7,0.3,3.2,0.419,0.377,0.874,26.3,,,,
Andre Allen,UTA,2000-01,21,66,41,17.8,5.5,4.3,5.5,0.6,0.1,2.0,0.403,0.38,0.912,27.5,,,,
Brandon Turner,CLE,2000-01,21,27,24,7.6,10.8,0.5,2.4,0.8,0.6,2.6,0.508,0.327,0.716,30.3,,,,
Julius Miller,PHI,2000-01,21,61,40,24.3,18.2,10.9,0.2,1.8,0.2,1.3,0.55,0.346,0.68,32.6,,,,
Zach Reed,DAL,2000-01,21,43,27,21.7,17.9,6.9,3.3,0.7,0.9,1.6,0.407,0.287,0.849,30.9,,,,
Ja Evans,OKC,2000-01,19,58,37,17.4,20.6,1.7,7.5,0.5,0.4,2.8,0.415,0.374,0.726,22.4,,,,
LaMelo Reed,OKC,2000-01,23,68,59,28.0,9.9,7.5,0.2,0.2,0.1,2.0,0.499,0.399,0.663,18.9,,,,
Malik Allen,GSW,2000-01,23,55,12,18.4,19.4,9.8,0.8,1.2,1.1,1.9,0.426,0.377,0.832,17.3,,,,
Marcus Mitchell,MEM,2000-01,22,32,6,23.6,19.2,8.4,6.5,0.5,0.7,0.3,0.426,0.365,0.69,16.2,,,,
Jrue Phillips,ORL,2000-01,22,73,6,38,9.9,6.0,3.7,0.6,0.9,0.4,0.469,0.387,0.788,32.9,,,,
Domantas Stewart,CHI,2000-01,21,69,62,35.2,16.0,3.3,2.2,1.1,1.5,0.3,0.513,0.403,0.69,20.1,,,,
Zion Parker,HOU,2000-01,21,82,41,25.0,19.6,7.2,3.5,0.5,0,0.9,0.411,0.417,0.899,22.3,,,,
Andre Wright,HOU,2000-01,21,79,31,21.2,30.1,6.0,4.3,0.7,1.7,2.3,0.499,0.321,0.756,19.1,,,,
Cade Young,NYK,2000-01,24,74,22,25.0,12.7,7.7,6.3,1.0,1.4,2.8,0.454,0.3,0.722,30.8,,,,
DeMar Miller,CHA,2000-01,21,44,34,29.5,8.0,4.8,6.9,1.3,0,2.0,0.443,0.292,0.773,24.3,,,,
Fred Davis,DEN,2000-01,19,34,16,15.2,11.1,1.3,4.3,1.3,0,2.3,0.42,0.337,0.866,16.3,,,,
Giannis Nelson,OKC,2000-01,19,31,20,24.0,11.4,5.3,3.2,0.1,1.4,1.8,0.522,0.384,0.666,29.5,,,,
DeAndre Reed,BOS,2000-01,22,78,56,31.6,2.8,6.6,1.2,0.9,1.0,1.3,0.526,0.316,0.658,31.2,,,,
Donovan Baker,MIN,2000-01,21,35,21,25.6,9.9,6.0,0.2,0.2,0,0.6,0.505,0.293,0.711,28.4,,,,
Khris Reed,MEM,2000-01,22,39,23,15.0,23.0,8.4,3.6,0.2,1.0,1.6,0.472,0.339,0.908,24.8,,,,
Chris Edwards,HOU,2000-01,21,31,8,26.7,20.4,5.4,4.5,0.7,0.6,0.8,0.522,0.306,0.786,18.1,,,,
CJ Mitchell,TOR,2000-01,21,64,58,33.9,23.6,4.4,3.1,1.1,1.2,1.1,0.392,0.406,0.682,15.2,,,,
Fred Wright,ORL,2000-01,22,66,44,38,20.4,3.3,9.5,1.4,0.1,0.3,0.402,0.32,0.881,15.1,,,,
Kevin Brown,CHI,2000-01,19,22,3,31.9,17.0,0.5,5.2,1.1,0.9,1.4,0.464,0.376,0.815,17.6,,,,
DeAndre Anderson,MIN,2000-01,20,49,32,25.6,16.8,6.2,3.8,1.0,0.5,2.8,0.493,0.312,0.687,17.7,,,,
Brandon Jackson,BOS,2000-01,22,61,19,23.5,12.2,3.3,8.1,0.8,0.3,1.9,0.524,0.321,0.844,16.4,,,,
Luka Adams,OKC,2000-01,20,32,21,30.1,2,5.4,4.8,0.7,0.6,2.9,0.503,0.359,0.686,16.6,,,,
Malik Mitchell,HOU,2000-01,22,27,9,5.6,20.2,5.5,4.1,0.7,0.6,1.9,0.501,0.352,0.783,17.1,,,,
Kevin Moore,MIA,2000-01,23,49,31,28.3,12.0,6.3,2.2,0.9,0.9,2.5,0.491,0.293,0.675,29.0,,,,
Julius Miller,MIL,2000-01,24,24,6,26.0,17.6,11.3,0.9,0.5,0.5,2.2,0.436,0.4,0.775,32.8,,,,
DeAndre Collins,SAS,2001-02,22,67,38,21.4,15.8,3.3,6.3,0.6,1.0,1.7,0.479,0.332,0.765,27.7,,,,
Tyrese Young,CHA,2001-02,24,78,7,32.4,18.2,7.2,6.7,0,0.9,2.5,0.398,0.344,0.745,21.5,,,,
Anthony Green,MIA,2001-02,22,30,2,20.0,9.6,6.1,4.2,0.9,0.9,2.6,0.53,0.379,0.841,33.7,,,,
Kyle Moore,MIA,2001-02,20,71,20,22.3,18.1,2.1,6.0,1.4,0,2.3,0.438,0.315,0.785,20.7,,,,
CJ Moore,HOU,2001-02,24,48,5,17.5,16.8,8.0,3.3,1.4,0.3,3.8,0.501,0.387,0.85,22.2,,,,
Darius Nelson,PHX,2001-02,25,75,51,25.0,19.9,8.4,7.0,0.3,0.3,2.7,0.392,0.387,0.919,16.3,,,,
Kevin White,PHI,2001-02,22,64,3,38,11.1,10.8,4.1,0.4,0.4,2.5,0.449,0.334,0.681,34.3,,,,
Zach Moore,NYK,2001-02,21,31,23,22.9,23.1,10.8,2.3,1.6,0.5,1.9,0.507,0.398,0.803,23.7,,,,
Jayson King,CHI,2001-02,24,53,4,22.3,26.1,10.3,5.6,0.3,0,1.0,0.546,0.302,0.792,22.9,,,,
CJ Johnson,SAS,2001-02,20,55,15,22.7,18.4,6.9,4.6,0.9,0.4,3.2,0.504,0.288,0.701,19.1,,,,
DeAndre Nelson,MIN,2001-02,22,52,12,24.0,17.9,9.3,4.7,1.0,0.6,2.4,0.526,0.322,0.736,28.7,,,,
Kyle Allen,WAS,2001-02,21,20,12,9.8,17.7,2.9,3.9,1.7,1.7,3.1,0.392,0.367,0.77,30.1,,,,
Pascal Phillips,SAS,2001-02,21,47,45,36.8,11.7,5.6,0.2,0.5,0.9,2.2,0.476,0.357,0.737,21.5,,,,
Devin Turner,NYK,2001-02,23,52,16,20.7,7.4,5.4,0.2,1.2,0.7,2.7,0.447,0.282,0.683,19.1,,,,
Cade Collins,HOU,2001-02,20,43,38,20.7,22.5,6.6,3.2,0.8,0.3,1.2,0.415,0.303,0.897,15.7,,,,
Jaylen Martin,PHX,2001-02,22,47,30,23.2,8.2,2.7,2.1,0.9,0,0.3,0.534,0.365,0.801,26.1,,,,
Bam Mitchell,PHI,2001-02,23,81,19,29.9,15.1,2.3,6.8,0.8,0.2,2.4,0.545,0.397,0.807,30.6,,,,
Jayson Parker,PHI,2001-02,22,64,2,15.2,23.9,0.9,5.2,0.1,0.8,1.8,0.457,0.354,0.708,25.4,,,,
Malik Parker,BKN,2001-02,21,51,44,29.4,6.5,8.5,2.6,0.6,0.5,1.5,0.509,0.361,0.917,28.6,,,,
Kevin Reed,MIA,2001-02,21,38,28,22.9,12.0,13.0,9.0,0.9,0.7,1.0,0.416,0.378,0.742,16.8,,,,
Jayson Parker,HOU,2001-02,22,61,16,34.9,21.5,4.1,2.3,0.5,0.1,1.1,0.437,0.339,0.717,30.4,,,,
Luka Hill,PHI,2001-02,20,53,25,22.5,10.1,7.5,2.8,1.7,0.1,1.8,0.488,0.304,0.899,15.3,,,,
CJ Mitchell,MIL,2001-02,23,30,18,29.1,2.8,0.5,0.2,0.4,0.2,0.8,0.412,0.339,0.818,15.1,,,,
Tyrese Mitchell,LAC,2001-02,22,24,13,31.9,9.2,5.3,2.4,1.3,0.6,2.7,0.454,0.335,0.765,22.2,,,,
Brandon Taylor,DEN,2001-02,20,46,13,29.8,20.3,2.9,0.5,1.2,0.8,2.6,0.487,0.29,0.71,22.1,,,,
Khris Williams,TOR,2001-02,24,77,40,29.6,14.1,8.4,0.2,0.8,1.4,3.5,0.431,0.4,0.72,25.3,,,,
Andre Allen,PHI,2001-02,21,67,58,28.2,24.3,3.5,4.7,1.0,0,0.5,0.388,0.373,0.735,33.2,,,,
Brandon Turner,CHI,2001-02,23,29,5,21.7,20.4,5.0,7.2,2.3,1.3,1.9,0.422,0.352,0.905,31.8,,,,
Julius Miller,NYK,2001-02,20,76,76,28.0,10.0,6.9,6.8,1.7,0.6,1.3,0.397,0.401,0.679,21.2,,,,
CJ Baker,CLE,2001-02,21,46,29,22.0,23.6,3.5,4.1,0,0.5,2.5,0.503,0.349,0.749,16.4,,,,
Zach Reed,SAS,2001-02,21,55,22,11.1,7.8,3.4,2.8,0.4,0.5,2.3,0.548,0.394,0.763,34.2,,,,
Jaylen Young,NOP,2001-02,19,64,2,38,15.6,4.2,6.8,1.3,0.6,0.6,0.414,0.414,0.872,23.3,,,,
Ja Evans,DEN,2001-02,22,52,10,27.5,6.2,9.4,3.7,1.3,0.9,2.3,0.491,0.337,0.794,19.5,,,,
LaMelo Reed,SAC,2001-02,21,73,48,20.5,17.1,6.4,1.5,0.7,0.5,2.7,0.506,0.384,0.696,19.7,,,,
Malik Allen,CHA,2001-02,24,56,1,23.8,3.6,11.2,0.2,1.6,0.7,0.3,0.42,0.321,0.762,34.5,,,,
Marcus Mitchell,PHI,2001-02,23,67,55,16.8,7.5,9.2,0.4,1.3,0.8,0.3,0.406,0.335,0.892,30.9,,,,
Zion Lopez,OKC,2001-02,21,29,4,28.4,2.7,9.1,4.9,1.5,0.4,2.0,0.464,0.299,0.693,23.7,,,,
Jrue Phillips,OKC,2001-02,20,75,70,22.1,18.3,3.3,2.3,1.0,0.8,0.3,0.396,0.394,0.702,26.1,,,,
Domantas Stewart,CLE,2001-02,25,42,39,19.2,18.7,5.0,1.9,1.4,0.8,3.5,0.445,0.284,0.664,17.1,,,,
Brandon Harris,SAS,2001-02,19,38,24,32.6,6.5,4.1,3.5,1.4,1.5,1.9,0.443,0.395,0.723,23.7,,,,
Zion Parker,PHI,2001-02,25,78,63,6.2,8.0,1.1,4.7,1.1,0.5,2.0,0.397,0.281,0.794,15.8,,,,
Domantas Stewart,UTA,2001-02,19,50,8,23.8,10.1,7.2,4.3,1.8,0.9,1.7,0.541,0.316,0.704,29.2,,,,
Devin Anderson,IND,2001-02,22,59,46,25.0,19.0,1.2,6.2,1.5,1.5,1.2,0.475,0.349,0.742,31.1,,,,
LaMelo Campbell,GSW,2001-02,21,76,18,21.1,14.0,0.5,1.3,1.1,0.7,2.6,0.436,0.322,0.67,23.8,,,,
Andre Wright,MIN,2001-02,21,76,29,20.1,17.3,6.7,5.2,0.8,0,2.0,0.496,0.311,0.883,29.6,,,,
Cade Young,UTA,2001-02,25,56,15,13.9,21.5,3.6,1.2,1.2,1.3,1.3,0.505,0.309,0.828,22.3,,,,
DeMar Miller,NYK,2001-02,21,67,20,25.2,5.2,1.5,0.2,1.2,0.7,0.7,0.396,0.341,0.756,33.8,,,,
Fred Davis,LAL,2001-02,21,55,17,30.1,16.8,6.8,5.8,1.4,0.1,1.8,0.468,0.309,0.712,28.4,,,,
Giannis Nelson,MEM,2001-02,22,58,18,23.9,3.5,1.7,2.6,0.3,0.2,3.2,0.53,0.299,0.812,34.3,,,,
DeAndre Reed,TOR,2001-02,22,76,50,20.1,24.9,6.7,1.7,1.1,0.4,2.0,0.518,0.332,0.666,18.6,,,,
Donovan Baker,LAL,2001-02,21,39,32,24.3,19.4,5.9,4.5,0.7,0,2.2,0.538,0.318,0.826,23.5,,,,
Khris Reed,GSW,2001-02,21,77,32,38,13.3,5.3,3.8,0.7,1.5,1.2,0.426,0.392,0.669,16.5,,,,
Chris Edwards,NYK,2001-02,22,51,35,16.3,8.5,3.1,3.1,1.6,1.2,1.2,0.483,0.369,0.753,26.1,,,,
Fred Wright,PHI,2001-02,22,62,51,22.9,14.5,11.4,4.3,0.9,0.7,2.7,0.426,0.412,0.828,26.8,,,,
Kevin Brown,CLE,2001-02,23,56,25,23.6,14.6,4.5,2.2,0.3,0.5,0.7,0.406,0.368,0.803,23.9,,,,
DeAndre Anderson,CHA,2001-02,20,24,10,24.3,15.3,5.2,3.5,0.9,1.6,1.8,0.49,0.365,0.737,17.3,,,,
Nikola Baker,CLE,2001-02,19,53,19,19.3,17.4,2.4,5.1,1.5,0.7,1.3,0.422,0.376,0.895,21.7,,,,
Khris Wilson,CLE,2001-02,19,71,61,38,18.9,1.1,3.9,0.8,0.7,0.8,0.39,0.316,0.7,34.6,,,,
DeAndre Johnson,TOR,2001-02,21,63,24,25.8,27.1,3.7,6.1,0.7,0.8,1.3,0.426,0.302,0.831,29.3,,,,
Ja Campbell,TOR,2001-02,22,70,32,28.6,16.5,0.9,0.2,0.9,1.1,2.0,0.413,0.295,0.917,16.9,,,,
Nikola Murphy,LAC,2001-02,19,58,27,23.1,13.0,3.3,0.8,1.0,0.2,1.8,0.435,0.364,0.695,20.1,,,,
Zion Lopez,OKC,2001-02,19,23,10,21.4,7.2,3.0,5.9,0.7,0.7,2.0,0.544,0.336,0.887,19.2,,,,
Brandon Jackson,LAL,2001-02,20,53,9,33.2,17.3,6.7,0.7,0.8,0.7,3.9,0.499,0.323,0.911,19.8,,,,
Luka Adams,DET,2001-02,23,75,21,37.8,25.1,3.0,1.7,0.2,0,1.3,0.389,0.408,0.849,28.0,,,,
Malik Mitchell,MIL,2001-02,23,70,66,23.1,6.0,8.5,1.6,1.4,0.2,3.1,0.386,0.327,0.657,15.4,,,,
Bam Williams,BKN,2001-02,21,56,3,28.4,13.9,6.6,1.2,1.4,0.8,1.7,0.408,0.381,0.797,26.8,,,,
Kevin Moore,ATL,2001-02,25,43,6,29.7,8.4,6.5,3.7,1.4,1.3,2.1,0.455,0.386,0.874,31.3,,,,
Julius Miller,MIA,2001-02,25,81,63,25.1,13.1,11.6,0.4,0.4,0.3,1.5,0.393,0.396,0.682,31.2,,,,
DeAndre Collins,UTA,2002-03,22,42,4,23.8,15.3,2.2,2.9,1.4,1.2,0.3,0.526,0.391,0.716,22.1,,,,
Chris Taylor,NOP,2002-03,22,54,4,27.0,14.3,2.4,2.1,0.8,1.4,1.8,0.523,0.3,0.665,32.6,,,,
Tyrese Young,PHX,2002-03,23,22,4,38,15.8,1.2,5.4,1.3,0.9,3.5,0.466,0.419,0.836,17.1,,,,
Anthony Green,HOU,2002-03,25,22,22,25.1,21.6,10.4,4.2,1.2,1.5,2.4,0.464,0.386,0.767,22.6,,,,
Kyle Moore,UTA,2002-03,20,60,12,38,19.9,7.0,0.8,0.4,0,2.0,0.548,0.381,0.845,25.2,,,,
Darius Nelson,NOP,2002-03,26,49,17,32.5,12.3,11.7,3.6,0.8,0,3.0,0.543,0.339,0.709,20.8,,,,
Kevin White,DET,2002-03,22,38,21,36.2,7.7,2.8,4.9,1.2,1.1,2.3,0.525,0.37,0.88,18.5,,,,
Zach Moore,SAC,2002-03,22,51,46,27.6,21.7,0.5,3.9,1.1,1.4,2.5,0.481,0.314,0.861,17.4,,,,
Tyrese Moore,BKN,2002-03,22,49,9,21.4,10.1,0.5,7.1,1.1,0.7,1.3,0.513,0.332,0.672,17.1,,,,
CJ Johnson,DEN,2002-03,22,55,24,18.7,6.9,1.8,4.2,2.0,1.3,2.2,0.498,0.368,0.709,27.4,,,,
DeAndre Nelson,WAS,2002-03,23,42,37,13.0,22.2,4.7,3.5,2.2,0.3,3.0,0.487,0.287,0.765,22.9,,,,
Kyle Allen,CHA,2002-03,23,22,0,23.0,6.4,9.2,5.4,1.7,1.2,1.6,0.486,0.311,0.669,20.2,,,,
Shai Stewart,NYK,2002-03,20,41,16,28.7,19.2,9.4,6.1,1.8,1.1,2.8,0.386,0.383,0.729,33.3,,,,
Pascal Phillips,CLE,2002-03,25,55,37,38,22.0,3.8,4.1,1.9,0.8,1.5,0.426,0.337,0.798,32.1,,,,
Devin Turner,BKN,2002-03,22,45,20,32.0,19.0,10.7,0.2,1.0,0.7,0.8,0.428,0.288,0.863,27.9,,,,
Cade Collins,BKN,2002-03,24,28,9,31.1,10.3,2.5,5.0,1.2,0.1,3.0,0.466,0.392,0.709,16.4,,,,
Jaylen Martin,BKN,2002-03,24,29,23,25.5,17.2,2.5,10.2,1.2,0.9,1.9,0.386,0.345,0.671,27.4,,,,
Bam Mitchell,LAL,2002-03,22,23,10,27.6,2,8.2,3.9,0.7,1.0,1.9,0.448,0.38,0.89,23.5,,,,
Jayson Parker,NOP,2002-03,23,64,23,38,14.2,5.1,6.1,0.3,0,2.6,0.487,0.416,0.69,20.0,,,,
Marcus Cook,GSW,2002-03,19,81,69,29.4,10.5,7.5,1.5,0.8,0.7,2.1,0.424,0.348,0.711,26.0,,,,
Malik Parker,BKN,2002-03,21,41,22,18.0,7.5,6.8,2.7,1.3,0.8,3.1,0.525,0.39,0.753,28.8,,,,
Chris Thomas,UTA,2002-03,21,59,43,29.3,20.2,1.8,0.8,1.5,0.8,3.0,0.463,0.292,0.907,21.0,,,,
Kevin Reed,CHA,2002-03,25,71,49,12.0,3.8,5.4,1.5,0.8,0,0.5,0.411,0.328,0.701,26.8,,,,
Jayson Parker,DAL,2002-03,21,80,55,23.8,16.4,5.3,6.0,0.7,1.0,3.4,0.392,0.365,0.773,34.0,,,,
Luka Hill,PHI,2002-03,21,54,42,34.0,20.5,3.3,6.2,1.4,0.3,1.3,0.389,0.282,0.695,17.4,,,,
CJ Mitchell,OKC,2002-03,24,22,5,8.8,19.1,7.0,3.1,1.2,0.7,3.7,0.531,0.281,0.812,16.3,,,,
Bam Miller,LAC,2002-03,20,71,41,34.5,7.5,5.5,1.2,1.1,0.3,4.0,0.489,0.388,0.658,29.6,,,,
Tyrese Mitchell,UTA,2002-03,23,28,16,23.8,18.6,5.0,1.6,1.7,1.0,1.9,0.496,0.398,0.757,24.8,,,,
Brandon Taylor,NOP,2002-03,21,30,21,30.1,7.8,7.0,2.5,0.6,0.2,2.5,0.514,0.283,0.868,31.0,,,,
Khris Williams,MEM,2002-03,24,54,2,21.7,19.5,6.6,3.2,0.2,0.6,1.8,0.53,0.41,0.882,16.0,,,,
Andre Allen,SAC,2002-03,24,58,33,19.2,12.8,4.0,2.3,1.2,0.7,2.9,0.464,0.3,0.859,15.2,,,,
Brandon Turner,ATL,2002-03,24,66,26,24.0,11.3,3.2,5.2,0.7,0.4,2.6,0.542,0.338,0.891,31.1,,,,
Julius Miller,PHI,2002-03,22,49,8,11.1,8.4,4.4,2.6,1.0,0.2,0.4,0.39,0.341,0.66,33.1,,,,
CJ Baker,HOU,2002-03,21,24,15,26.4,12.8,9.4,7.5,0.3,1.3,1.0,0.464,0.285,0.716,16.3,,,,
James White,DAL,2002-03,19,51,10,34.9,2,5.1,3.0,1.3,0.1,0.8,0.498,0.31,0.854,17.9,,,,
Zach Reed,LAC,2002-03,21,82,42,30.7,11.8,4.4,0.9,0,1.0,1.8,0.503,0.299,0.68,19.0,,,,
Jaylen Young,BOS,2002-03,21,71,20,38,15.6,8.0,5.6,1.0,0.4,1.0,0.406,0.355,0.73,22.2,,,,
Ja Evans,ORL,2002-03,22,51,49,26.7,17.2,9.6,0.2,0.9,0.5,2.5,0.395,0.326,0.777,16.2,,,,
LaMelo Reed,PHX,2002-03,23,41,17,38,17.5,6.0,6.5,1.7,0,1.8,0.441,0.381,0.866,22.2,,,,
Malik Allen,CLE,2002-03,25,63,2,22.1,22.4,9.3,3.3,0.7,1.2,0.3,0.51,0.321,0.764,24.0,,,,
Marcus Mitchell,UTA,2002-03,23,49,36,20.3,18.7,8.6,3.8,0.8,0.4,3.0,0.544,0.311,0.782,22.9,,,,
LaMelo Thomas,PHX,2002-03,22,30,21,19.2,22.7,0.5,5.1,0.8,1.4,3.5,0.5,0.334,0.694,17.8,,,,
Zion Lopez,PHX,2002-03,20,52,43,21.5,20.1,5.7,4.7,0.5,0,1.2,0.525,0.297,0.893,28.0,,,,
Jrue Phillips,HOU,2002-03,22,31,17,28.4,7.2,5.2,0.2,0.5,0.8,0.5,0.505,0.337,0.669,32.1,,,,
Domantas Stewart,ORL,2002-03,24,28,11,29.5,23.7,6.0,4.8,0.3,0,4.2,0.53,0.328,0.83,19.6,,,,
Donovan Brown,WAS,2002-03,19,57,39,29.1,20.4,1.3,3.7,0.8,0,1.9,0.534,0.409,0.758,17.4,,,,
Brandon Harris,BKN,2002-03,20,48,11,20.8,19.7,3.3,1.5,1.7,1.6,3.2,0.395,0.41,0.868,19.0,,,,
Zion Parker,MIL,2002-03,24,20,12,20.1,15.7,3.1,1.6,0.8,1.0,0.5,0.55,0.355,0.88,32.9,,,,
Bam Stewart,GSW,2002-03,20,29,1,17.5,6.8,7.0,1.2,1.2,1.0,1.1,0.453,0.317,0.908,26.4,,,,
Jordan Edwards,OKC,2002-03,20,32,31,35.0,14.2,5.8,5.8,1.7,0.3,2.9,0.485,0.346,0.7,24.9,,,,
CJ King,NYK,2002-03,20,41,30,35.5,10.1,1.6,7.7,0.7,0.6,0.3,0.54,0.315,0.787,15.2,,,,
Domantas Stewart,POR,2002-03,20,23,2,15.2,18.4,5.7,7.9,1.3,1.6,1.1,0.414,0.367,0.759,30.2,,,,
DeAndre Roberts,SAC,2002-03,21,70,7,28.2,12.3,4.0,5.1,1.6,0.9,0.9,0.517,0.41,0.674,20.6,,,,
Cade Mitchell,HOU,2002-03,20,70,6,15.8,14.3,3.0,2.9,2.0,0.6,2.6,0.527,0.343,0.802,17.0,,,,
Devin Anderson,NYK,2002-03,23,27,22,21.1,2,3.1,0.2,1.5,0.8,1.4,0.434,0.306,0.658,16.1,,,,
LaMelo Campbell,CLE,2002-03,22,39,7,33.4,9.7,8.5,3.0,0.8,0.4,1.6,0.548,0.376,0.819,34.1,,,,
Cade Young,CHI,2002-03,26,82,31,22.3,18.4,10.6,4.9,0.3,1.9,0.3,0.517,0.36,0.867,26.5,,,,
DeMar Miller,MIN,2002-03,24,20,14,27.3,14.7,8.4,3.4,1.1,0.7,0.5,0.495,0.368,0.703,33.0,,,,
Fred Davis,LAC,2002-03,21,32,8,10.1,11.6,3.0,1.0,0.9,0.4,2.7,0.39,0.313,0.653,21.0,,,,
Giannis Nelson,DAL,2002-03,21,24,14,38,12.6,6.7,0.2,1.5,0.9,1.1,0.434,0.413,0.658,22.9,,,,
DeAndre Reed,CLE,2002-03,25,82,19,25.9,16.6,6.1,0.4,1.2,0.7,4.5,0.407,0.375,0.712,29.2,,,,
Donovan Baker,LAL,2002-03,22,53,9,25.8,11.6,10.2,7.5,1.9,1.0,0.3,0.462,0.379,0.807,20.3,,,,
Khris Reed,ORL,2002-03,23,39,30,17.6,15.5,1.2,1.1,0.4,0.7,1.5,0.533,0.35,0.871,20.6,,,,
Ja Jackson,HOU,2002-03,20,60,55,13.3,9.6,3.7,1.8,1.3,1.5,2.0,0.459,0.343,0.914,19.9,,,,
Chris Edwards,CLE,2002-03,24,31,13,33.6,15.9,5.3,2.3,0.8,0.8,1.7,0.397,0.354,0.701,25.3,,,,
Fred Wright,HOU,2002-03,24,49,13,23.7,7.8,3.7,0.2,0.6,0.5,1.8,0.431,0.394,0.789,34.8,,,,
Kevin Brown,UTA,2002-03,21,21,13,33.4,18.1,7.4,2.5,0.6,0.4,0.5,0.498,0.323,0.662,26.0,,,,
Jalen Murphy,ATL,2002-03,20,75,75,27.9,16.9,3.0,0.2,1.4,1.5,0.6,0.503,0.321,0.82,25.2,,,,
DeAndre Anderson,DAL,2002-03,23,73,43,29.2,16.5,2.1,1.9,1.1,0.9,1.6,0.519,0.302,0.684,32.4,,,,
Nikola Baker,OKC,2002-03,22,63,22,35.5,7.1,8.8,0.2,1.3,0.9,2.3,0.538,0.405,0.826,31.1,,,,
Khris Wilson,GSW,2002-03,23,45,32,29.3,17.5,4.3,5.7,1.5,0.4,2.1,0.436,0.347,0.838,29.6,,,,
DeAndre Johnson,NYK,2002-03,20,67,2,22.6,19.7,3.7,3.4,2.2,0.1,1.3,0.487,0.398,0.69,27.7,,,,
Ja Campbell,CHI,2002-03,22,74,51,14.1,5.2,4.5,3.8,1.7,0.5,1.9,0.39,0.392,0.893,20.7,,,,
Nikola Murphy,BKN,2002-03,22,80,42,23.8,7.1,8.4,4.6,0.5,0.2,3.5,0.424,0.339,0.817,19.9,,,,
Zion Lopez,NOP,2002-03,20,43,15,28.0,21.5,3.5,4.2,1.0,0.9,0.5,0.471,0.378,0.655,33.9,,,,
Brandon Jackson,CHI,2002-03,21,53,15,19.0,4.7,7.7,2.9,1.4,0.4,2.0,0.463,0.361,0.827,24.3,,,,
Luka Adams,BKN,2002-03,24,42,36,27.1,12.5,4.0,5.0,0.9,0.4,2.9,0.382,0.321,0.889,23.5,,,,
Darius Cook,DAL,2002-03,19,45,26,19.8,17.1,4.3,2.9,1.6,0.8,2.2,0.526,0.292,0.916,27.3,,,,
