player_id,full_name,position,height_inches,weight_lbs,draft_year
200069,Kyle Baker,C,81,220,2011
200070,Jordan Lopez,G-F,77,231,2014
200071,Shai Stewart,G-F,82,228,2002
200072,Andre Cook,G-F,80,180,2016
200073,Tyrese Wright,F-C,81,263,2004
200074,Cade Phillips,F,80,240,2012
200075,Darius Wilson,F-C,77,191,2007
200076,Zion Lopez,F,72,185,2005
200077,Zion Campbell,G-F,78,260,2017
200078,Zach Harris,G-F,78,211,2020
200079,Jaylen Johnson,G-F,75,202,2022
200080,Pascal Phillips,G,79,197,1999
200081,Bam Edwards,G-F,81,244,2015
200082,Jayson Stewart,G-F,79,213,2012
200083,Zion King,G-F,82,210,2022
200084,Devin Turner,F,76,222,2000
200085,Cade Collins,F,75,229,2000
200086,Jaylen Martin,G-F,77,249,2000
200087,Bam Mitchell,G-F,78,254,1999
200088,Marcus Morris,G,77,218,2010
200089,Giannis Mitchell,G-F,75,214,2015
200090,Jayson Parker,C,82,266,1998
200091,Nikola Jackson,F-C,80,183,2012
200092,Nikola Murphy,G,82,234,2016
200093,Malik Phillips,C,78,221,2003
200094,Jalen Phillips,G-F,76,233,2008
200095,Luka Wilson,F-C,72,224,2013
200096,Trae Miller,G,75,205,2022
200097,Marcus Cook,F,79,265,2002
200098,Jordan Morris,C,84,227,2004
200099,Darius Reed,F,76,193,2017
200100,DeMar Williams,G-F,83,205,2007
200101,Anthony Murphy,G,83,218,2020
200102,Khris Taylor,C,80,234,2023
200103,Damian Miller,G,78,242,2014
200104,DeAndre Roberts,F,78,202,2009
200105,Pascal King,G-F,78,255,2017
200106,Devin Hill,C,79,211,2005
200107,Bam Morris,C,72,243,2017
200108,Cade White,C,84,213,2013
200109,LaMelo King,F-C,72,246,2017
200110,Kyle Wilson,G-F,80,210,2005
200111,Julius Parker,G,76,208,2012
200112,Nikola Young,G-F,80,247,2007
200113,Ja Roberts,C,83,238,2021
200114,Devin Lopez,G,83,204,2006
200115,Cade Taylor,F,75,241,2021
200116,Devin Murphy,F-C,76,192,2022
200117,Kyle Wright,F,76,181,2005
200118,Fred Anderson,G,80,217,2006
200119,Malik Parker,F-C,76,240,2001
200120,Julius Turner,G,76,241,2008
200121,Jordan Miller,G,81,260,2010
200122,Chris Thomas,G,75,195,2002
200123,CJ Mitchell,F-C,78,237,2017
200124,Donovan Lopez,C,81,259,2016
200125,Chris Cook,F,82,207,2021
200126,Luka Wilson,F,80,189,2003
200127,Darius Johnson,F-C,79,217,2011
200128,Tyler Thompson,G-F,73,267,2007
200129,Trae Allen,G-F,73,249,2023
200130,Trae Thomas,G,72,201,2006
200131,Tyrese Reed,G-F,73,239,2021
200132,Tyrese Carter,F-C,79,236,2006
200133,Kevin Reed,C,81,212,1999
200134,Marcus Wilson,C,81,185,2005
200135,Andre Campbell,C,74,254,2014
200136,Jayson Parker,C,78,222,2000
200137,Cade Moore,G-F,83,243,2003
200138,Shai Carter,G-F,73,220,2022
200139,Luka Hill,F-C,72,264,2001
200140,Fred Phillips,F,80,226,2011
200141,Jrue Parker,G,75,214,2018
200142,CJ Anderson,G-F,73,183,2007
200143,Khris Young,C,80,181,2020
200144,CJ Mitchell,G,79,195,2000
200145,Jaylen Parker,F-C,83,214,2020
200146,Joel Campbell,G-F,80,198,2013
200147,Giannis Harris,F,73,215,2017
200148,Joel Green,C,72,216,2023
200149,Tyrese Murphy,F,79,248,2016
200150,Julius Adams,G-F,77,204,2008
200151,Zion Morris,G-F,72,220,2010
200152,Julius Nelson,G-F,72,196,2010
200153,Domantas Murphy,G-F,73,247,2008
200154,Bam Johnson,G-F,82,199,2021
200155,Anthony Campbell,C,81,268,2023
200156,Nikola Wilson,C,82,242,2008
200157,Fred Brown,F,82,267,2017
200158,Shai Thompson,G-F,73,261,2021
200159,DeAndre Turner,G,72,221,2003
200160,Chris Wright,G-F,74,211,2009
200161,Pascal Mitchell,F,74,190,2016
200162,Jrue Nelson,G-F,81,198,2017
200163,Trae Phillips,G-F,76,265,2018
200164,James Phillips,G,79,224,2007
200165,DeMar Lopez,C,79,218,2018
200166,Kyle Nelson,F,78,253,2013
200167,Ja Morris,G,82,230,2007
200168,Devin Johnson,F-C,83,243,2016
200169,Shai Thompson,F,82,204,2017
200170,Jrue Allen,G,82,262,2019
200171,Tyler Lopez,G,81,226,2023
200172,Malik Wilson,G-F,74,205,2007
200173,Malik Collins,F-C,76,201,2009
200174,Luka Campbell,C,84,194,2023
200175,Bam Miller,G-F,84,251,2002
200176,Damian Wilson,G,76,248,2023
200177,Jordan Phillips,F-C,78,261,2009
200178,Damian Moore,G-F,72,259,2019
200179,CJ Hill,G,82,239,2017
200180,Tyrese Mitchell,G,72,218,2001
200181,Brandon Taylor,F-C,74,229,2001
200182,Bam Baker,F-C,83,199,2019
200183,Joel Moore,C,72,268,2013
200184,Damian Martin,F,77,192,2012
200185,Damian Collins,G,78,215,2018
200186,Kyle Taylor,F,82,261,2012
200187,Khris Williams,F,74,252,1999
200188,Jalen Miller,F-C,75,209,2022
200189,LaMelo Thomas,C,74,196,2023
200190,Fred Allen,G,82,183,2023
200191,Malik Johnson,F-C,77,182,2009
200192,Andre Allen,G-F,80,194,1999
200193,Anthony Campbell,F-C,81,193,2012
200194,Donovan Evans,F-C,76,238,2005
200195,Marcus Davis,G-F,82,193,2013
200196,Brandon Turner,C,81,198,2000
200197,Anthony Anderson,G-F,81,247,2006
200198,Shai Phillips,G,84,269,2014
200199,Jordan Stewart,G-F,79,209,2021
200200,Joel Green,G-F,83,192,2012
200201,Cade Roberts,C,74,267,2008
200202,Julius Miller,G,78,192,2000
200203,Damian Anderson,F-C,80,251,2015
200204,LaMelo Taylor,G-F,83,186,2011
200205,Shai Reed,G,81,244,2007
200206,Jalen Thomas,F,73,224,2019
200207,CJ Baker,F-C,75,234,2001
200208,CJ Cook,F-C,82,268,2017
200209,Devin Williams,C,77,224,2003
200210,James White,G,74,261,2002
200211,Marcus Wilson,F,78,233,2021
200212,Bam Green,C,83,221,2003
200213,Zach Reed,F,74,259,2000
200214,Chris Wilson,G-F,79,257,2006
200215,Donovan Mitchell,F-C,73,224,2006
200216,Jayson Taylor,F-C,82,219,2007
200217,Tyler Thompson,G,75,218,2010
200218,Jalen Anderson,C,77,195,2022
200219,James Parker,F,74,228,2021
200220,Fred Thompson,G,78,185,2014
200221,Jayson Williams,C,81,234,2012
200222,Zach Carter,C,73,231,2020
200223,Marcus Hill,C,73,235,2003
200224,DeAndre Young,F-C,73,230,2011
200225,Tyrese Green,F,73,245,2005
200226,Jordan Edwards,C,77,262,2014
200227,Jaylen Young,C,75,202,2001
200228,Khris Thomas,F,84,260,2022
200229,Brandon Phillips,F-C,82,261,2022
200230,Jrue Hill,F,79,188,2018
200231,Julius Turner,C,81,187,2018
200232,Ja Evans,G-F,79,184,2000
200233,Chris Baker,G,81,256,2007
200234,Domantas Nelson,G-F,84,253,2012
200235,Kyle Hill,F-C,74,187,2017
200236,Donovan Moore,G,80,262,2023
200237,Andre Brown,G-F,80,246,2005
200238,Jrue Jackson,C,78,232,2009
200239,LaMelo Reed,G,77,192,1999
200240,CJ Nelson,F-C,74,222,2007
200241,Kevin Murphy,C,76,263,2019
200242,Nikola Anderson,C,80,228,2017
200243,LaMelo Anderson,G,82,265,2019
200244,Jayson Evans,C,76,203,2009
200245,Jalen Green,F,75,197,2022
200246,Jaylen Miller,F-C,84,249,2007
200247,Pascal Brown,F-C,74,256,2019
200248,Giannis Thomas,F-C,84,201,2003
200249,Donovan Brown,F,79,258,2011
200250,Shai Turner,C,84,240,2005
200251,Kyle Baker,G-F,84,216,2019
200252,Giannis Evans,F,75,257,2014
200253,Malik Allen,C,80,193,1999
200254,Pascal Taylor,F,76,237,2007
200255,Domantas Thomas,F,79,224,2011
200256,Marcus Mitchell,F-C,77,210,1999
200257,Giannis Wilson,G,77,192,2009
200258,LaMelo Thomas,C,79,269,2002
200259,Malik Campbell,G,72,212,2012
200260,Jalen Thomas,G-F,73,216,2015
200261,Zion Lopez,F,78,261,2001
200262,Jrue Phillips,G-F,81,248,2000
200263,Marcus Evans,F,76,234,2016
200264,James Cook,F-C,78,203,2009
200265,Kevin Edwards,F-C,80,244,2009
200266,Domantas Stewart,G-F,72,261,1998
200267,Giannis Baker,C,84,188,2006
200268,Ja Young,F-C,83,222,2021
200269,Malik Brown,F,84,267,2009
200270,Bam Campbell,F,73,238,2018
200271,Tyler Wright,F,72,220,2004
200272,Tyrese Evans,C,72,262,2010
200273,Kyle Wright,C,76,195,2009
200274,Damian Roberts,G-F,77,203,2010
200275,Brandon Parker,C,84,190,2009
200276,Jayson Wilson,F-C,76,221,2011
200277,DeAndre Wilson,C,79,257,2008
200278,Jayson Jackson,C,79,185,2020
200279,Ja Cook,G,73,265,2011
200280,Nikola Baker,G,74,257,2014
200281,Donovan Brown,F,84,262,2002
200282,Damian Baker,F-C,74,266,2010
200283,Donovan Baker,G,81,197,2009
200284,Pascal Baker,C,75,194,2010
200285,Marcus White,G-F,80,195,2013
200286,Luka Allen,F,81,216,2020
200287,Brandon Harris,G,79,202,2001
200288,Donovan Wilson,C,83,188,2023
200289,CJ Collins,F,83,270,2007
200290,Andre Baker,G,75,197,2014
200291,Zion Parker,F-C,81,227,1998
200292,Bam Stewart,G,76,230,2002
200293,Julius Edwards,F-C,73,196,2011
200294,Cade Miller,F-C,77,196,2012
200295,CJ Murphy,G-F,80,187,2003
200296,Jordan Edwards,F,74,221,2002
200297,Trae Adams,G,76,205,2014
200298,CJ King,F-C,80,191,2002
200299,Domantas Jackson,F,82,259,2016
200300,Khris Green,G,73,185,2016
200301,Zach Allen,F-C,78,259,2018
200302,Marcus Parker,C,79,211,2018
200303,Nikola Lopez,G,74,236,2012
200304,Joel Campbell,C,81,198,2012
200305,Cade Hill,G-F,74,227,2021
200306,Domantas Stewart,F,79,195,2001
200307,Devin Turner,G,72,217,2005
200308,Giannis Cook,F,77,253,2011
200309,Cade Harris,G-F,80,239,2022
200310,Brandon Lopez,G,78,244,2013
200311,Bam Young,G,72,216,2004
200312,Brandon Reed,C,80,181,2018
200313,DeAndre Roberts,C,84,231,2002
200314,Damian Brown,F-C,80,204,2010
200315,Damian Stewart,G-F,80,237,2007
200316,CJ King,F,73,230,2017
200317,Damian Green,F,75,257,2015
200318,Domantas Carter,G,72,197,2014
200319,LaMelo Campbell,F,81,245,2014
200320,Malik Hill,F,78,258,2017
200321,Tyrese Murphy,F-C,80,242,2008
200322,Zach Lopez,C,77,266,2013
200323,Jordan Mitchell,G,81,240,2016
200324,Luka Murphy,G,81,241,2016
200325,Darius Edwards,F,82,211,2018
200326,Tyler Morris,F,72,236,2020
200327,Cade Mitchell,F,78,244,2002
200328,Jrue Campbell,F,80,206,2021
200329,CJ Hill,F-C,78,220,2019
200330,Andre Phillips,F-C,77,266,2015
200331,Luka Cook,F,76,251,2013
200332,Tyrese Thompson,F,83,270,2007
200333,Brandon Hill,F-C,84,215,2013
200334,Shai Taylor,G-F,77,198,2016
200335,Shai Brown,C,79,263,2007
200336,Luka Campbell,F-C,76,251,2004
200337,Devin Anderson,F,72,265,2001
200338,Pascal Thompson,G,73,232,2018
200339,LaMelo Campbell,G,80,200,2001
200340,Joel Campbell,C,77,216,2013
200341,Chris Wilson,F-C,83,184,2018
200342,Andre Mitchell,G-F,84,243,2003
200343,Andre Wright,C,81,257,1999
200344,DeAndre Green,F-C,80,243,2007
200345,Malik Evans,F,84,194,2012
200346,LaMelo Jackson,C,83,203,2021
200347,James Green,F-C,82,204,2023
200348,Andre Cook,G-F,80,221,2018
200349,Kevin Carter,F,74,241,2019
200350,Cade Young,G-F,75,237,1998
200351,Devin Green,C,82,226,2007
200352,Zion Davis,G-F,76,200,2019
200353,Nikola Evans,G,82,217,2020
200354,Damian Cook,F,79,199,2005
200355,Bam Reed,F-C,79,248,2009
200356,Jalen Young,F-C,79,247,2019
200357,Damian Miller,G,80,244,2016
200358,Kyle Morris,F,77,246,2015
200359,Donovan Taylor,F-C,79,191,2019
200360,Domantas Turner,G-F,74,245,2023
200361,Joel Phillips,F-C,79,266,2016
200362,Tyrese Williams,G,83,207,2010
200363,DeMar Miller,C,83,188,1999
200364,Fred Davis,G,76,232,2000
200365,Andre Anderson,C,78,237,2022
200366,Giannis Nelson,C,73,202,2000
200367,Fred Carter,F,72,182,2014
200368,Tyrese Phillips,F-C,78,209,2019
200369,Zion Phillips,C,75,194,2009
200370,Tyler Mitchell,F,75,188,2017
200371,DeAndre Reed,F-C,82,270,1999
200372,Chris Young,G-F,79,209,2021
200373,Fred Martin,F,80,217,2022
200374,Trae Morris,F,76,198,2008
200375,Pascal Thompson,C,72,251,2011
200376,DeMar White,F-C,79,186,2018
200377,Ja Nelson,C,83,233,2023
200378,Joel Thomas,F,84,248,2007
200379,Julius Young,F,84,239,2005
200380,Chris Stewart,F-C,80,197,2011
200381,Giannis Young,C,82,190,2006
200382,Donovan Baker,G,76,228,2000
200383,Khris Reed,F,84,255,1999
200384,CJ Martin,C,76,181,2013
200385,Jalen Harris,G-F,75,269,2021
200386,Khris Martin,F-C,77,216,2010
200387,Giannis Phillips,C,76,226,2015
200388,Domantas Parker,G-F,84,220,2012
200389,Jalen Baker,G,81,208,2008
200390,Jaylen Williams,C,74,205,2006
200391,LaMelo Thompson,G-F,80,263,2010
200392,LaMelo Allen,G-F,79,201,2022
200393,Ja Jackson,F,80,262,2002
200394,Chris Edwards,G,84,180,1999
200395,Joel Anderson,G,83,199,2018
200396,James Martin,C,72,259,2014
200397,Jrue Campbell,G,72,248,2019
200398,CJ Mitchell,F-C,83,215,1998
200399,Fred Wright,G-F,84,202,1998
200400,DeAndre Moore,F,75,259,2014
200401,Pascal Allen,G-F,73,227,2009
200402,Nikola Phillips,F,76,267,2016
200403,Kevin Brown,G-F,78,250,2000
200404,Julius Davis,F,73,243,2018
200405,Jayson Green,F-C,72,209,2016
200406,Jalen Morris,G,73,267,2013
200407,Devin Collins,F,77,182,2016
200408,Jalen Murphy,G,76,200,2002
200409,Zach Young,F-C,77,229,2016
200410,Malik Wilson,G,73,235,2014
200411,Trae Miller,C,72,261,2008
200412,Devin Turner,C,80,228,2013
200413,Jayson White,G,84,259,2019
200414,Shai Young,G,76,199,2020
200415,Giannis Thomas,C,77,193,2021
200416,Kevin Johnson,C,84,214,2007
200417,DeAndre Anderson,G-F,79,251,2000
200418,CJ Evans,G,73,225,2011
200419,CJ Wilson,G-F,72,217,2017
200420,Joel Nelson,F-C,75,253,2022
200421,Pascal Jackson,F,74,214,2019
200422,Tyrese King,G,74,235,2013
200423,Devin Mitchell,G,77,212,2007
200424,Zion Parker,G-F,73,197,2017
200425,Tyrese Johnson,F-C,78,222,2010
200426,Donovan Green,C,77,257,2011
200427,Kyle Campbell,G-F,77,217,2008
200428,Brandon Morris,C,78,215,2023
200429,Nikola Baker,F-C,80,203,2001
200430,CJ Williams,F,79,217,2021
200431,Anthony Mitchell,F,82,218,2019
200432,Zion Allen,G-F,84,228,2019
200433,Anthony Turner,F-C,78,248,2017
200434,Domantas Mitchell,C,83,248,2015
200435,Khris Wilson,C,74,262,2001
200436,Jrue Brown,C,84,235,2016
200437,DeAndre Johnson,F,80,246,2001
200438,CJ Murphy,G-F,77,230,2020
200439,Bam Murphy,F,77,183,2020
200440,Julius Moore,G,73,198,2007
200441,Ja Lopez,F,80,241,2008
200442,Ja Campbell,G-F,77,188,2001
200443,Tyrese Brown,G,77,262,2023
200444,DeAndre Jackson,F-C,74,250,2021
200445,Darius Green,G-F,75,231,2015
200446,Andre White,G-F,72,258,2018
200447,Kyle Turner,G-F,72,270,2016
200448,Jalen Martin,F-C,73,248,2006
200449,Andre Baker,G-F,73,213,2008
200450,Brandon Edwards,F-C,78,258,2018
200451,Nikola Murphy,C,79,259,2001
200452,Andre Lopez,F,77,195,2017
200453,Zion Lopez,C,83,198,2001
200454,Domantas Nelson,F-C,78,234,2011
200455,Andre Parker,F-C,74,242,2018
200456,Shai Anderson,G-F,81,186,2003
200457,Ja Johnson,F,78,251,2013
200458,Domantas Parker,G-F,83,236,2011
200459,Brandon Jackson,F,76,184,2000
200460,Devin Thompson,F,84,238,2015
200461,Zach Parker,G,81,194,2015
200462,Devin Collins,G-F,80,207,2009
200463,Jayson Moore,C,72,237,2021
200464,Luka Adams,G,84,210,2000
200465,Jalen Murphy,F-C,82,234,2020
200466,Darius Cook,F,84,187,2002
200467,Zach Adams,F-C,80,201,2015
200468,Cade Wright,F-C,82,192,2007
200469,Malik Mitchell,F,83,196,1999
200470,Zion Thomas,F,84,266,2020
200471,Nikola Parker,G-F,78,237,2002
200472,Anthony Wilson,C,83,227,2010
200473,Bam Parker,G,83,238,2008
200474,Ja Miller,F,78,207,2023
200475,Brandon King,C,80,253,2008
200476,Malik Morris,G,72,192,2013
200477,Bam Williams,G-F,79,180,2001
200478,Jayson Harris,C,74,215,2020
200479,Kevin Baker,C,82,263,2006
200480,Darius Davis,F,78,263,2010
200481,Kevin Moore,G-F,73,196,1998
200482,DeMar Thompson,G,72,269,2014
200483,LaMelo Taylor,G-F,73,209,2011
200484,Giannis Wilson,G,77,227,2021
200485,Tyrese Anderson,F,73,247,2010
200486,Zach Johnson,G-F,77,207,2017
200487,Jaylen Mitchell,F,73,192,2017
200488,Malik Taylor,C,78,220,2016
200489,Malik Young,F,80,256,2006
200490,Khris Reed,C,75,246,2007
200491,Khris Evans,C,82,186,2004
200492,Zion Parker,F,79,261,2010
200493,Khris Miller,C,77,196,2014
200494,Giannis Morris,F-C,82,202,2011
200495,Julius Miller,G,76,207,1998
200496,Tyler Davis,F-C,76,260,2023
200497,Domantas Mitchell,G,82,248,2011
200498,Fred Cook,G,76,190,2002
200499,Domantas Martin,F-C,77,230,2023
